courseId,hole,par,distFt,source
juel-community-park,1,,257,osm
juel-community-park,2,,226,osm
juel-community-park,3,,263,osm
juel-community-park,4,,309,osm
juel-community-park,5,,340,osm
juel-community-park,6,,423,osm
juel-community-park,7,,345,osm
juel-community-park,9,,200,osm
juel-community-park,10,,300,osm
juel-community-park,11,,270,osm
juel-community-park,12,,222,osm
juel-community-park,13,,354,osm
juel-community-park,14,,355,osm
juel-community-park,15,,486,osm
juel-community-park,16,,370,osm
juel-community-park,17,,344,osm
juel-community-park,18,,227,osm
victory-park-0,1,,373,osm
victory-park-0,2,,230,osm
victory-park-0,3,,231,osm
victory-park-0,4,,354,osm
victory-park-0,5,,539,osm
victory-park-0,6,,277,osm
victory-park-0,7,,371,osm
victory-park-0,8,,371,osm
victory-park-0,9,,354,osm
victory-park-0,10,,296,osm
victory-park-0,11,,217,osm
victory-park-0,12,,971,osm
victory-park-0,13,,235,osm
victory-park-0,14,,224,osm
victory-park-0,15,,273,osm
victory-park-0,16,,276,osm
victory-park-0,17,,563,osm
victory-park-0,18,,364,osm
buckhorn-harris-lake-county-park,1,,356,osm
buckhorn-harris-lake-county-park,2,,264,osm
buckhorn-harris-lake-county-park,3,,302,osm
buckhorn-harris-lake-county-park,4,,465,osm
buckhorn-harris-lake-county-park,5,,274,osm
buckhorn-harris-lake-county-park,6,,432,osm
buckhorn-harris-lake-county-park,7,,244,osm
buckhorn-harris-lake-county-park,8,,154,osm
buckhorn-harris-lake-county-park,9,,314,osm
buckhorn-harris-lake-county-park,10,,416,osm
buckhorn-harris-lake-county-park,11,,340,osm
buckhorn-harris-lake-county-park,12,,300,osm
buckhorn-harris-lake-county-park,13,,250,osm
buckhorn-harris-lake-county-park,14,,266,osm
buckhorn-harris-lake-county-park,15,,265,osm
buckhorn-harris-lake-county-park,16,,350,osm
buckhorn-harris-lake-county-park,17,,404,osm
buckhorn-harris-lake-county-park,18,,370,osm
boomer-lake-park,1,3,205,osm
boomer-lake-park,2,3,356,osm
boomer-lake-park,3,3,264,osm
boomer-lake-park,4,3,392,osm
boomer-lake-park,5,3,456,osm
boomer-lake-park,6,3,353,osm
boomer-lake-park,7,3,298,osm
boomer-lake-park,8,,338,osm
boomer-lake-park,9,,721,osm
boomer-lake-park,10,4,246,osm
boomer-lake-park,11,3,393,osm
boomer-lake-park,12,3,305,osm
boomer-lake-park,13,3,246,osm
boomer-lake-park,14,3,416,osm
boomer-lake-park,15,3,384,osm
boomer-lake-park,16,3,377,osm
boomer-lake-park,17,3,227,osm
boomer-lake-park,18,3,293,osm
larson-park,1,4,275,osm
larson-park,2,3,194,osm
larson-park,3,4,242,osm
larson-park,4,3,142,osm
larson-park,5,3,189,osm
larson-park,6,5,307,osm
larson-park,7,3,111,osm
larson-park,8,3,165,osm
larson-park,9,5,338,osm
larson-park,10,3,176,osm
larson-park,11,4,222,osm
larson-park,12,4,233,osm
larson-park,13,4,237,osm
larson-park,14,5,286,osm
larson-park,15,3,187,osm
larson-park,16,3,165,osm
larson-park,17,4,236,osm
larson-park,18,5,393,osm
jackson-crossing-disc-golf,1,4,247,osm
jackson-crossing-disc-golf,2,3,133,osm
jackson-crossing-disc-golf,3,5,302,osm
jackson-crossing-disc-golf,4,3,216,osm
jackson-crossing-disc-golf,5,4,191,osm
jackson-crossing-disc-golf,6,5,374,osm
jackson-crossing-disc-golf,7,4,207,osm
jackson-crossing-disc-golf,8,4,270,osm
jackson-crossing-disc-golf,9,4,276,osm
expo-park,1,3,268,osm
expo-park,2,3,243,osm
expo-park,3,3,317,osm
expo-park,4,3,329,osm
expo-park,5,3,296,osm
expo-park,6,3,340,osm
expo-park,7,3,229,osm
expo-park,8,3,402,osm
expo-park,9,3,298,osm
expo-park,10,3,197,osm
expo-park,11,3,273,osm
expo-park,12,3,278,osm
expo-park,13,3,355,osm
expo-park,14,3,330,osm
expo-park,15,3,321,osm
expo-park,16,3,201,osm
expo-park,17,3,270,osm
expo-park,18,3,216,osm
plamann-apple-creek-18,1,,454,osm
plamann-apple-creek-18,2,,302,osm
plamann-apple-creek-18,3,,271,osm
plamann-apple-creek-18,4,,319,osm
plamann-apple-creek-18,5,,303,osm
plamann-apple-creek-18,6,,257,osm
plamann-apple-creek-18,7,,408,osm
plamann-apple-creek-18,8,,302,osm
plamann-apple-creek-18,9,,265,osm
plamann-apple-creek-18,10,,272,osm
plamann-apple-creek-18,11,,182,osm
plamann-apple-creek-18,12,,200,osm
plamann-apple-creek-18,13,,385,osm
plamann-apple-creek-18,14,,215,osm
plamann-apple-creek-18,15,,256,osm
plamann-apple-creek-18,16,,356,osm
plamann-apple-creek-18,17,,280,osm
plamann-apple-creek-18,18,,248,osm
ludington-park-0,1,4,429,osm
ludington-park-0,2,3,246,osm
ludington-park-0,3,3,207,osm
ludington-park-0,4,3,333,osm
ludington-park-0,5,3,305,osm
ludington-park-0,6,3,273,osm
ludington-park-0,7,3,347,osm
ludington-park-0,8,3,160,osm
ludington-park-0,9,3,249,osm
roosevelt-park,1,3,272,osm
roosevelt-park,2,3,269,osm
roosevelt-park,3,3,255,osm
roosevelt-park,4,4,446,osm
roosevelt-park,5,3,113,osm
roosevelt-park,6,3,307,osm
roosevelt-park,7,3,213,osm
roosevelt-park,8,3,291,osm
roosevelt-park,9,3,210,osm
roosevelt-park,10,3,337,osm
roosevelt-park,11,4,391,osm
roosevelt-park,12,3,398,osm
roosevelt-park,13,3,306,osm
roosevelt-park,14,3,353,osm
roosevelt-park,15,3,406,osm
roosevelt-park,18,3,290,osm
west-side-park,1,,284,osm
west-side-park,2,,237,osm
west-side-park,3,,275,osm
west-side-park,4,,231,osm
west-side-park,5,,475,osm
west-side-park,6,,321,osm
west-side-park,7,,623,osm
west-side-park,8,,306,osm
west-side-park,9,,295,osm
edora-park,1,,305,osm
edora-park,2,,239,osm
edora-park,3,,305,osm
edora-park,4,,333,osm
edora-park,5,,419,osm
edora-park,6,,360,osm
edora-park,7,,209,osm
edora-park,8,,385,osm
edora-park,9,,365,osm
edora-park,10,,209,osm
edora-park,11,,680,osm
edora-park,12,,217,osm
edora-park,13,,489,osm
edora-park,14,,287,osm
edora-park,15,,175,osm
edora-park,16,,376,osm
edora-park,17,,441,osm
edora-park,18,,477,osm
edmundson-park,1,3,224,osm
edmundson-park,2,3,275,osm
edmundson-park,4,3,275,osm
edmundson-park,5,3,173,osm
edmundson-park,6,3,526,osm
edmundson-park,7,3,281,osm
edmundson-park,8,3,332,osm
edmundson-park,9,3,299,osm
edmundson-park,10,3,397,osm
edmundson-park,11,3,347,osm
edmundson-park,12,3,552,osm
edmundson-park,14,3,291,osm
edmundson-park,15,3,365,osm
edmundson-park,16,3,375,osm
edmundson-park,17,3,286,osm
edmundson-park,18,3,315,osm
rock-ridge-park-dgc,1,,532,osm
rock-ridge-park-dgc,2,,368,osm
rock-ridge-park-dgc,3,,242,osm
rock-ridge-park-dgc,4,,238,osm
rock-ridge-park-dgc,5,,414,osm
rock-ridge-park-dgc,6,,256,osm
rock-ridge-park-dgc,7,,565,osm
rock-ridge-park-dgc,8,,203,osm
rock-ridge-park-dgc,9,,234,osm
rock-ridge-park-dgc,10,,541,osm
rock-ridge-park-dgc,11,,296,osm
rock-ridge-park-dgc,12,,415,osm
rock-ridge-park-dgc,13,,276,osm
rock-ridge-park-dgc,14,,510,osm
rock-ridge-park-dgc,15,,225,osm
rock-ridge-park-dgc,16,,279,osm
rock-ridge-park-dgc,17,,709,osm
rock-ridge-park-dgc,18,,388,osm
south-wood-county-park,1,,222,osm
south-wood-county-park,2,,239,osm
south-wood-county-park,3,,192,osm
south-wood-county-park,4,,221,osm
south-wood-county-park,5,,202,osm
south-wood-county-park,6,,156,osm
south-wood-county-park,7,,265,osm
south-wood-county-park,8,,340,osm
south-wood-county-park,9,,208,osm
south-wood-county-park,10,,149,osm
south-wood-county-park,11,,277,osm
south-wood-county-park,12,,268,osm
minnehaha-fallswabun-picnic-disc-golf-course,1,,171,osm
minnehaha-fallswabun-picnic-disc-golf-course,2,,155,osm
minnehaha-fallswabun-picnic-disc-golf-course,3,,185,osm
minnehaha-fallswabun-picnic-disc-golf-course,4,,165,osm
minnehaha-fallswabun-picnic-disc-golf-course,5,,207,osm
minnehaha-fallswabun-picnic-disc-golf-course,6,,275,osm
minnehaha-fallswabun-picnic-disc-golf-course,7,,212,osm
minnehaha-fallswabun-picnic-disc-golf-course,8,,207,osm
minnehaha-fallswabun-picnic-disc-golf-course,9,,233,osm
glenn-c-hilton-memorial-park,1,,256,osm
glenn-c-hilton-memorial-park,2,,216,osm
glenn-c-hilton-memorial-park,3,,263,osm
glenn-c-hilton-memorial-park,4,,310,osm
glenn-c-hilton-memorial-park,5,,304,osm
glenn-c-hilton-memorial-park,6,,141,osm
glenn-c-hilton-memorial-park,7,,395,osm
glenn-c-hilton-memorial-park,8,,223,osm
glenn-c-hilton-memorial-park,9,,163,osm
glenn-c-hilton-memorial-park,10,,204,osm
glenn-c-hilton-memorial-park,11,,208,osm
glenn-c-hilton-memorial-park,12,,209,osm
glenn-c-hilton-memorial-park,13,,161,osm
glenn-c-hilton-memorial-park,14,,249,osm
glenn-c-hilton-memorial-park,15,,216,osm
glenn-c-hilton-memorial-park,16,,295,osm
glenn-c-hilton-memorial-park,17,,163,osm
glenn-c-hilton-memorial-park,18,,149,osm
glenn-c-hilton-memorial-park,19,,210,osm
glenn-c-hilton-memorial-park,20,,144,osm
glenn-c-hilton-memorial-park,21,,184,osm
glenn-c-hilton-memorial-park,22,,174,osm
glenn-c-hilton-memorial-park,23,,155,osm
glenn-c-hilton-memorial-park,24,,174,osm
dragon,1,,509,osm
dragon,2,,343,osm
dragon,3,,296,osm
dragon,4,,497,osm
dragon,5,,682,osm
dragon,6,,750,osm
dragon,7,,345,osm
dragon,8,,267,osm
dragon,9,,773,osm
dragon,10,,425,osm
dragon,11,,316,osm
dragon,12,,444,osm
dragon,14,,679,osm
dragon,15,,563,osm
dragon,16,,461,osm
dragon,17,,706,osm
dragon,18,,392,osm
elm-creek-disc-golf-course,1,,295,osm
elm-creek-disc-golf-course,2,,138,osm
elm-creek-disc-golf-course,3,,170,osm
elm-creek-disc-golf-course,4,,285,osm
elm-creek-disc-golf-course,5,,228,osm
elm-creek-disc-golf-course,6,,281,osm
elm-creek-disc-golf-course,7,,332,osm
elm-creek-disc-golf-course,8,,236,osm
elm-creek-disc-golf-course,9,,250,osm
uw-campus-parkside-east,1,,238,osm
uw-campus-parkside-east,2,,348,osm
uw-campus-parkside-east,3,,413,osm
uw-campus-parkside-east,4,,444,osm
uw-campus-parkside-east,5,,364,osm
uw-campus-parkside-east,6,,221,osm
uw-campus-parkside-east,7,,251,osm
uw-campus-parkside-east,8,,134,osm
uw-campus-parkside-east,9,,211,osm
uw-campus-parkside-east,10,,446,osm
uw-campus-parkside-east,11,,246,osm
uw-campus-parkside-east,12,,118,osm
uw-campus-parkside-east,13,,81,osm
uw-campus-parkside-east,14,,99,osm
uw-campus-parkside-east,15,,288,osm
uw-campus-parkside-east,16,,260,osm
